,cnpj,raiz_cnpj,matriz_filial,razao_social,opcao_pelo_simples,capital_social,bairro,municipio
8,714851000104,714851,MATRIZ,MKT SERVICOS DE MARKETING E TECNOLOGIA - EIRELI,NAO,320000,CENTRO CIVICO,CURITIBA
11,846686000136,846686,MATRIZ,HORUS INFORMATICA LTDA,NAO,200000,BATEL,CURITIBA
14,1302359000186,1302359,MATRIZ,UNIWARE CONS E COMERCIO DE EQUIP P/ INFORMATICA LTDA,NAO,60000,JD. NIKKO,LONDRINA
26,2265894000177,2265894,MATRIZ,ISO ENTERPRISE INFORMATICA LTDA,NAO,259999,PAROLIN,CURITIBA
35,2904609000110,2904609,MATRIZ,FATOR I CONSULTORIA LTDA,NAO,25000,SANTA FELICIDADE,CURITIBA
42,3158860000146,3158860,MATRIZ,PELISSARI INFORMATICA SA,NAO,6500500,REBOUCAS,CURITIBA
50,3456658000109,3456658,MATRIZ,PLANETAWEB INFORMATICA LTDA,SIM,50000,CENTRO,CURITIBA
52,3650551000199,3650551,MATRIZ,WELAB.BUSINESS COMUNICACAO DIGITAL EIRELI,NAO,250000,SAO FRANCISCO,CURITIBA
56,3768803000189,3768803,MATRIZ,MITI - MIDIA INTERATIVA E TECNOLOGIA DA INFORMACAO LTDA,NAO,5472116,AGUA VERDE,CURITIBA
58,3842870000104,3842870,MATRIZ,FERAWEB INFORMATICA LTDA,NAO,15000,BATEL,CURITIBA
59,3869517000100,3869517,MATRIZ,AMBX TECNOLOGIA LTDA,NAO,500000,BATEL,CURITIBA
61,3942659000155,3942659,MATRIZ,VIGA NETSTORE LTDA,NAO,60000,JARDIM DAS AMERICAS,CURITIBA
65,4055839000188,4055839,MATRIZ,TEROS INFORMATICA LTDA,SIM,10000,MERCES,CURITIBA
66,4067290000141,4067290,MATRIZ,DHBYTE SOFTWARE ESPECIALISTA S/S LTDA,NAO,10000,BAIRRO ALTO,CURITIBA
72,4358494000131,4358494,MATRIZ,CINQ TECHNOLOGIES LTDA,NAO,7990586,REBOUCAS,CURITIBA
85,4915134000193,4915134,MATRIZ,DRZ GEOTECNOLOGIA E CONSULTORIA LTDA,NAO,2000000,CENTRO,LONDRINA
